customer_id,customer_name,customer_segment,region,city,join_date,customer_status,loyalty_tier,customer_rating,churn_risk,preferred_payment_method,total_orders,total_spend,average_order_value
C0001,Laksh Pingle,Online,West,Pune,2025-12-25,Active,Gold,3.9,Low,Wallet,2.0,57845.18,28922.59
C0002,Krishna Gole,Wholesale,West,Mumbai,2025-09-10,Active,Silver,4.0,High,Wallet,3.0,294058.35,98019.45
C0003,Indira Guha,Retail,South,Hyderabad,2026-06-16,Active,Gold,3.1,High,Wallet,4.0,124960.39,31240.0975
C0004,Neel Narula,Retail,East,Kolkata,2026-02-26,Active,Platinum,3.5,Medium,UPI,4.0,558267.05,139566.7625
C0005,Hitesh Kothari,Wholesale,North,Jaipur,2023-03-31,Active,Gold,3.9,High,UPI,4.0,511523.45,127880.8625
C0006,Theodore Grewal,Online,West,Mumbai,2024-07-14,Active,Silver,4.7,Low,COD,2.0,114500.36000000002,57250.18000000001
C0007,Zashil Char,Retail,South,Hyderabad,2024-05-27,Active,Platinum,4.0,High,Debit Card,3.0,538633.75,179544.58333333334
C0008,Matthew Gill,Retail,North,Delhi,2023-06-30,Active,Gold,4.8,High,Debit Card,4.0,185389.44,46347.36
C0009,Yauvani Upadhyay,Retail,East,Patna,2026-03-20,Active,Gold,3.5,Medium,UPI,5.0,487771.69,97554.338
C0010,Hiral Madan,Online,South,Chennai,2026-06-02,Active,Gold,4.6,High,Wallet,3.0,279866.39,93288.79666666668
C0011,Krish Ratti,Retail,East,Patna,2024-12-27,Active,Platinum,4.3,Medium,Debit Card,3.0,100759.64,33586.54666666667
C0012,Andrew Dubey,Retail,East,Kolkata,2025-02-24,Active,Gold,4.3,Medium,Credit Card,2.0,102948.33,51474.165
C0013,Yamini Andra,Retail,South,Hyderabad,2024-06-08,Active,Silver,3.4,Low,Net Banking,2.0,238959.98,119479.99
C0014,Unnati Sandhu,Wholesale,West,Mumbai,2024-07-25,Inactive,Silver,3.9,High,COD,6.0,512623.03,85437.17166666668
C0015,Mohini Bains,Wholesale,East,Kolkata,2024-07-29,Active,Gold,4.4,Medium,Net Banking,6.0,624357.06,104059.51000000001
C0016,Ekiya Bava,Retail,North,Jaipur,2025-10-19,Active,Platinum,4.3,Low,Credit Card,5.0,475696.65,95139.33
C0017,Bachittar Bedi,Wholesale,East,Patna,2025-09-25,Active,Gold,4.9,Medium,Debit Card,1.0,96468.62,96468.62
C0018,Charvi Varughese,Online,South,Chennai,2024-11-14,Active,Silver,4.6,Low,Debit Card,2.0,279875.16,139937.58
